Date,Open,High,Low,Close,Volume
02/03/2014,57.1,57.1,56.74,56.78,5761
02/04/2014,56.32,56.422,56.15,56.422,2046
02/05/2014,56.21,56.23,55.87,56.23,1323
02/06/2014,56.46,57.01,56.46,56.99,4734
02/07/2014,57.33,57.33,57.13,57.15,3241
02/10/2014,57.75,57.75,57.57,57.622,3824
02/11/2014,57.85,58.49,57.85,58.35,3408
02/12/2014,58.58,58.58,58.32,58.32,1332
02/13/2014,58.3,58.72,58.3,58.716,3133
02/14/2014,58.68,58.95,58.68,58.95,1171
02/18/2014,59.14,59.17,59.13,59.15,892
02/19/2014,59.05,59.35,59.02,59.02,1327
02/20/2014,58.98,59.2,58.98,59.2,1024
02/21/2014,59.2,59.2,59.092,59.092,1432
02/25/2014,59.282,59.282,59.282,59.282,178
02/28/2014,59.58,59.9,59.58,59.7,1354
03/03/2014,59.28,59.42,59,59.27,3057
03/04/2014,59.9501,60.21,59.9501,60.17,855
03/05/2014,60.14,60.14,60.14,60.14,290
03/06/2014,60.38,60.38,60.38,60.38,274
03/07/2014,60.4599,60.46,60.33,60.46,1124
03/10/2014,60.3042,60.41,60.248,60.41,669
03/11/2014,60.44,60.45,60,60,2209
03/14/2014,59.382,59.382,59.382,59.382,237
03/17/2014,59.8999,59.94,59.79,59.79,2432
03/18/2014,60.09,60.36,60.09,60.36,1932
03/19/2014,60.3633,60.3633,60.3259,60.3259,719
03/21/2014,60.52,60.57,60.37,60.5,5128
03/24/2014,60.74,60.74,60.1462,60.1462,1253
03/25/2014,60.1872,60.26,60.1872,60.26,776
03/26/2014,60.6,60.6,59.92,59.92,1412
03/27/2014,59.76,59.76,59.66,59.72,7461
03/28/2014,60.14,60.3,60.12,60.12,2079
03/31/2014,60.59,60.59,60.54,60.55,1355
04/01/2014,60.85,60.89,60.812,60.89,578
04/04/2014,61.34,61.39,61.3301,61.39,794
04/07/2014,60.53,60.53,59.9496,59.9496,1641
04/08/2014,60.1,60.1,59.939,59.939,727
04/09/2014,60.12,60.532,60.12,60.532,1022
04/10/2014,60.465,60.465,59.52,59.52,1032
04/11/2014,59.12,59.25,58.9946,58.9946,819
04/14/2014,59.25,59.47,59.1,59.1,571
04/15/2014,59.71,59.74,59.04,59.74,2286
04/16/2014,59.98,60.25,59.9799,60.25,829
04/17/2014,60.171,60.55,60.171,60.54,769
04/21/2014,60.61,60.61,60.61,60.61,207
04/22/2014,60.76,60.97,60.7599,60.95,681
04/23/2014,60.8,60.86,60.8,60.86,983
04/24/2014,60.74,60.86,60.74,60.86,885
04/25/2014,60.91,60.91,60.4399,60.44,1391
04/28/2014,60.7608,60.7608,60.6175,60.6175,829
04/29/2014,60.96,60.96,60.96,60.96,157
04/30/2014,60.82,61.04,60.82,61.0399,896
05/01/2014,61.0856,61.0856,61,61,671
05/02/2014,61.048,61.048,61.01,61.02,1150
05/05/2014,60.76,60.77,60.65,60.66,1153
05/06/2014,60.65,60.65,60.632,60.632,965
05/08/2014,61.21,61.21,60.83,60.83,1449
05/09/2014,61.03,61.03,60.6,60.6,4749
05/12/2014,61.34,61.49,61.34,61.49,3230
05/13/2014,61.56,61.65,61.56,61.64,5348
05/14/2014,61.43,61.43,61.35,61.35,1550
05/15/2014,61.25,61.25,60.598,60.598,423
05/19/2014,60.91,61.13,60.91,61.13,2129
05/20/2014,61.01,61.02,60.58,60.73,38286
05/21/2014,61.09,61.1,61.08,61.1,4233
05/22/2014,61.3599,61.41,61.3599,61.41,666
05/23/2014,61.49,61.53,61.4899,61.5299,1293
05/27/2014,61.86,61.86,61.7599,61.77,2959
05/28/2014,61.82,61.82,61.816,61.816,468
05/29/2014,61.9571,61.98,61.93,61.979,3463
06/02/2014,62.322,62.322,62.26,62.32,1668
06/04/2014,62.27,62.5,62.25,62.497,4859
06/05/2014,62.59,62.59,62.582,62.59,515
06/06/2014,63.15,63.21,63.14,63.184,2061
06/09/2014,63.33,63.33,63.2501,63.2501,531
06/10/2014,63.28,63.3,63.264,63.28,1985
06/11/2014,63.0499,63.0499,63.0499,63.0499,198
06/12/2014,62.947,62.99,62.8599,62.8599,2273
06/13/2014,62.89,62.92,62.7305,62.75,81984
06/16/2014,62.85,62.94,62.6839,62.89,2243
06/17/2014,63.0196,63.09,63,63.09,7003
06/18/2014,63.08,63.5799,63.012,63.5799,11379
06/19/2014,63.58,63.6092,63.44,63.6092,4247
06/20/2014,63.78,63.81,63.76,63.81,8573
06/23/2014,63.83,63.84,63.76,63.84,9478
06/24/2014,63.81,63.96,63.3699,63.38,4296
06/25/2014,63.0301,63.25,63.0301,63.23,56249
06/26/2014,63.4,63.4,62.878,62.878,3885
06/27/2014,62.97,63.21,62.89,63.08,85898
06/30/2014,63.29,63.3,63.29,63.3,561
07/01/2014,63.33,63.75,63.33,63.65,668
07/02/2014,63.7,63.71,63.65,63.65,37530
07/03/2014,64.04,64.119,63.91,64,13370
07/07/2014,64.03,64.03,63.68,63.77,5585
07/08/2014,63.58,63.58,63.42,63.452,7179
07/09/2014,63.64,63.8195,63.49,63.706,13427
07/10/2014,63.251,63.435,63.251,63.435,699
07/11/2014,63.46,63.46,63.46,63.46,1917
07/15/2014,63.863,63.863,63.863,63.863,490
07/16/2014,63.97,64.0227,63.97,64.0227,22359
07/17/2014,63.65,63.65,63.65,63.65,1030
07/18/2014,63.64,63.95,63.59,63.95,1962
07/21/2014,63.81,63.85,63.55,63.85,969
07/22/2014,64.2328,64.2328,64.1,64.1,14425
07/23/2014,64.22,64.28,64.07,64.28,965
07/24/2014,64.28,64.33,64.28,64.33,2162
07/25/2014,63.98,64.0062,63.98,64,619
07/28/2014,64.12,64.12,63.64,63.89,1696
07/29/2014,64.02,64.02,64.02,64.02,5164
07/30/2014,63.567,63.7228,63.567,63.7228,633
07/31/2014,62.79,62.79,62.79,62.79,411
08/01/2014,62.3,62.3401,61.88,62.3258,1976
08/05/2014,62.47,62.47,61.8501,61.8501,611
08/06/2014,61.65,62.2,61.65,62.076,1209
08/07/2014,61.927,61.927,61.682,61.682,708
08/08/2014,62.28,62.42,62.22,62.34,161419
08/11/2014,62.53,62.6,62.53,62.6,385
08/12/2014,62.4599,62.5,62.41,62.5,4924
08/13/2014,62.7501,62.7501,62.6243,62.6243,1236
08/14/2014,62.79,63.06,62.79,63.04,3843
08/15/2014,63.105,63.105,62.74,63.03,7588
08/18/2014,63.385,63.54,63.38,63.54,10607
08/19/2014,63.79,63.95,63.7,63.95,9326
08/20/2014,63.68,64.15,63.68,64.15,662
08/21/2014,64.12,64.42,64.12,64.42,506
08/22/2014,64.26,64.26,64.18,64.18,1620
08/25/2014,64.55,64.59,64.52,64.55,13963
08/26/2014,64.7,64.79,64.6599,64.66,920
08/27/2014,64.74,64.74,64.74,64.74,271
08/28/2014,64.56,64.64,64.4601,64.6038,3021
08/29/2014,64.609,64.609,64.609,64.609,401
09/02/2014,64.99,64.99,64.53,64.62,1903
09/03/2014,65.09,65.09,64.725,64.75,226306
09/04/2014,64.59,65.07,64.5599,64.5599,2024
09/05/2014,64.45,64.8,64.45,64.8,3279
09/08/2014,64.7,64.91,64.69,64.69,603
09/09/2014,64.46,64.59,64.3575,64.3575,653
09/10/2014,64.19,64.44,64.04,64.44,1826
09/12/2014,64.445,64.465,63.9601,64.0201,1131237
09/15/2014,63.92,64.12,63.92,64.12,3381
09/16/2014,64.1,64.1,64.1,64.1,382
09/17/2014,64.77,64.82,64.64,64.78,2494
09/18/2014,64.86,65.0889,64.85,65.0889,1168738
09/19/2014,65.19,65.24,64.84,64.85,50338
09/22/2014,64.82,64.82,64.4,64.4,819
09/23/2014,64.14,64.26,64.04,64.04,1118
09/24/2014,64.091,64.2099,64.091,64.2099,420
09/25/2014,63.5,63.55,63.35,63.35,17634
09/26/2014,63.26,63.9212,63.26,63.638,2507
09/29/2014,63.15,63.64,63.15,63.64,821
09/30/2014,63.39,63.51,63.39,63.44,1055
10/01/2014,63.19,63.19,62.45,62.45,180819
10/02/2014,62.45,62.45,62,62,1015
10/03/2014,62.95,63.0305,62.95,63.0305,548
10/06/2014,63.2799,63.2799,62.97,63.22,107280
10/07/2014,62.59,62.89,62.317,62.408,2176
10/08/2014,62.3,63.252,61.8449,63.252,3639
10/09/2014,62.88,62.93,61.92,61.92,43172
10/10/2014,61.88,61.88,61.09,61.09,1655084
10/13/2014,61.34,61.34,60.11,60.11,72058
10/14/2014,60.56,60.82,60.26,60.26,3633
